venue,innings,batting_team,bowling_team,runs_6overs,wickets,avg_rating_bats,avg_rating_bowls
Sharjah Cricket Stadium,2,Kolkata Knight Riders,Delhi Capitals,59,37,8.583333333333334,8.6
Dubai International Cricket Stadium,1,Punjab Kings,Chennai Super Kings,46,36,8.375,8.666666666666666
Dubai International Cricket Stadium,2,Chennai Super Kings,Punjab Kings,60,38,7.875,8.25
Sharjah Cricket Stadium,1,Mumbai Indians,Sunrisers Hyderabad,48,37,8.1875,8.5
Sharjah Cricket Stadium,2,Sunrisers Hyderabad,Mumbai Indians,56,37,8.583333333333334,9.0
Dubai International Cricket Stadium,1,Delhi Capitals,Royal Challengers Bangalore,63,36,8.5,8.625
Dubai International Cricket Stadium,2,Royal Challengers Bangalore,Delhi Capitals,43,38,8.1875,8.8
Sheikh Zayed Stadium,1,Mumbai Indians,Rajasthan Royals,57,38,8.416666666666666,8.5
Sheikh Zayed Stadium,2,Rajasthan Royals,Mumbai Indians,31,36,8.25,9.0
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Chennai Super Kings,52,39,8.166666666666666,8.666666666666666
Sheikh Zayed Stadium,2,Chennai Super Kings,Kolkata Knight Riders,54,37,8.0,8.625
Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Punjab Kings,58,38,8.5,8.666666666666666
Dubai International Cricket Stadium,2,Punjab Kings,Sunrisers Hyderabad,45,36,8.1875,8.5
Sharjah Cricket Stadium,1,Delhi Capitals,Rajasthan Royals,51,39,8.2,8.625
Sharjah Cricket Stadium,2,Rajasthan Royals,Delhi Capitals,41,38,8.25,8.75
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Punjab Kings,25,36,8.0625,8.333333333333334
Sheikh Zayed Stadium,2,Punjab Kings,Kolkata Knight Riders,47,36,8.375,8.333333333333334
Dubai International Cricket Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,36,41,8.083333333333334,8.666666666666666
Dubai International Cricket Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,26,37,7.9375,8.625
Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,26,36,8.583333333333334,8.6875
Dubai International Cricket Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,36,36,8.45,8.5
Sheikh Zayed Stadium,1,Delhi Capitals,Mumbai Indians,46,38,8.3125,9.0
Sheikh Zayed Stadium,2,Mumbai Indians,Delhi Capitals,44,37,8.25,9.0
Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,47,36,7.875,8.333333333333334
Sharjah Cricket Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,43,38,8.0,8.875
Dubai International Cricket Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,44,37,8.0,8.5
Dubai International Cricket Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,40,38,8.4375,9.0
Dubai International Cricket Stadium,1,Delhi Capitals,Rajasthan Royals,47,41,8.3125,8.4375
Dubai International Cricket Stadium,2,Rajasthan Royals,Delhi Capitals,50,36,8.5,8.75
Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Punjab Kings,57,38,8.083333333333334,8.25
Sharjah Cricket Stadium,2,Punjab Kings,Royal Challengers Bangalore,56,37,8.375,8.75
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Mumbai Indians,33,40,8.0625,9.0
Sheikh Zayed Stadium,2,Mumbai Indians,Kolkata Knight Riders,51,36,8.25,8.25
Sharjah Cricket Stadium,1,Chennai Super Kings,Delhi Capitals,39,37,7.916666666666667,8.75
Sharjah Cricket Stadium,2,Delhi Capitals,Chennai Super Kings,41,36,8.3125,8.666666666666666
Dubai International Cricket Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,52,40,8.416666666666666,8.625
Dubai International Cricket Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,47,38,8.083333333333334,8.6875
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Sunrisers Hyderabad,48,36,8.25,8.5
Sheikh Zayed Stadium,2,Sunrisers Hyderabad,Kolkata Knight Riders,58,37,8.25,8.3125
Dubai International Cricket Stadium,1,Mumbai Indians,Punjab Kings,43,37,8.1,8.333333333333334
Dubai International Cricket Stadium,2,Punjab Kings,Mumbai Indians,51,37,8.5,9.0
Sheikh Zayed Stadium,1,Chennai Super Kings,Rajasthan Royals,43,36,8.0,8.375
Sheikh Zayed Stadium,2,Rajasthan Royals,Chennai Super Kings,31,36,8.45,8.75
Dubai International Cricket Stadium,1,Delhi Capitals,Punjab Kings,53,38,8.333333333333334,8.25
Dubai International Cricket Stadium,2,Punjab Kings,Delhi Capitals,57,39,8.3,8.6
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,17,37,7.958333333333333,9.0
Sheikh Zayed Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,44,38,7.875,8.333333333333334
Dubai International Cricket Stadium,1,Rajasthan Royals,Sunrisers Hyderabad,47,37,8.416666666666666,8.5
Dubai International Cricket Stadium,2,Sunrisers Hyderabad,Rajasthan Royals,58,39,8.375,8.375
Sharjah Cricket Stadium,1,Chennai Super Kings,Mumbai Indians,24,38,7.964285714285714,9.333333333333334
Sharjah Cricket Stadium,2,Mumbai Indians,Chennai Super Kings,52,36,8.0,8.5
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Delhi Capitals,36,36,8.0625,8.75
Sheikh Zayed Stadium,2,Delhi Capitals,Kolkata Knight Riders,36,39,8.1875,8.333333333333334
Dubai International Cricket Stadium,1,Punjab Kings,Sunrisers Hyderabad,47,36,8.333333333333334,8.5
Dubai International Cricket Stadium,2,Sunrisers Hyderabad,Punjab Kings,52,38,8.5,8.333333333333334
Sheikh Zayed Stadium,1,Mumbai Indians,Rajasthan Royals,59,40,8.25,8.5
Sheikh Zayed Stadium,2,Rajasthan Royals,Mumbai Indians,55,37,8.3125,9.0
Dubai International Cricket Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,46,39,8.083333333333334,8.5
Dubai International Cricket Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,48,36,8.0,8.875
Sharjah Cricket Stadium,1,Kolkata Knight Riders,Punjab Kings,54,37,8.0,8.333333333333334
Sharjah Cricket Stadium,2,Punjab Kings,Kolkata Knight Riders,36,36,8.125,8.333333333333334
Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Delhi Capitals,77,36,8.625,9.0
Dubai International Cricket Stadium,2,Delhi Capitals,Sunrisers Hyderabad,54,39,8.125,8.5
Sheikh Zayed Stadium,1,Royal Challengers Bangalore,Mumbai Indians,54,36,8.0,9.0
Sheikh Zayed Stadium,2,Mumbai Indians,Royal Challengers Bangalore,45,37,8.25,8.625
Dubai International Cricket Stadium,1,Kolkata Knight Riders,Chennai Super Kings,48,36,8.125,8.75
Dubai International Cricket Stadium,2,Chennai Super Kings,Kolkata Knight Riders,44,37,7.625,8.4
Sheikh Zayed Stadium,1,Punjab Kings,Rajasthan Royals,53,40,8.333333333333334,8.5
Sheikh Zayed Stadium,2,Rajasthan Royals,Punjab Kings,66,36,8.416666666666666,8.25
Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,30,37,8.25,8.5
Sharjah Cricket Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,58,40,8.666666666666666,8.875
Sheikh Zayed Stadium,1,Royal Challengers Bangalore,Delhi Capitals,40,37,8.166666666666666,8.75
Sheikh Zayed Stadium,2,Delhi Capitals,Royal Challengers Bangalore,53,36,8.416666666666666,8.625
Sheikh Zayed Stadium,1,Punjab Kings,Chennai Super Kings,53,36,8.5,8.75
Sheikh Zayed Stadium,2,Chennai Super Kings,Punjab Kings,57,38,8.0,8.25
Dubai International Cricket Stadium,1,Kolkata Knight Riders,Rajasthan Royals,55,36,8.166666666666666,8.625
Dubai International Cricket Stadium,2,Rajasthan Royals,Kolkata Knight Riders,41,38,8.25,8.416666666666666
Dubai International Cricket Stadium,1,Delhi Capitals,Mumbai Indians,22,37,8.25,8.833333333333334
Dubai International Cricket Stadium,2,Mumbai Indians,Delhi Capitals,38,36,8.0,8.75
Sharjah Cricket Stadium,1,Mumbai Indians,Sunrisers Hyderabad,48,36,8.1875,8.5
Sharjah Cricket Stadium,2,Sunrisers Hyderabad,Mumbai Indians,56,38,8.625,8.0625
Dubai International Cricket Stadium,1,Mumbai Indians,Delhi Capitals,63,37,8.416666666666666,8.8
Dubai International Cricket Stadium,2,Delhi Capitals,Mumbai Indians,32,38,8.208333333333334,9.0
Sheikh Zayed Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,32,37,8.1875,8.5
Sheikh Zayed Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,48,40,8.3125,8.833333333333334
Sheikh Zayed Stadium,1,Delhi Capitals,Sunrisers Hyderabad,65,37,8.25,8.5
Sheikh Zayed Stadium,2,Sunrisers Hyderabad,Delhi Capitals,49,39,8.25,8.75
Dubai International Cricket Stadium,1,Delhi Capitals,Mumbai Indians,41,36,8.15,8.75
Dubai International Cricket Stadium,2,Mumbai Indians,Delhi Capitals,61,36,8.416666666666666,8.8
MA Chidambaram Stadium,1,Mumbai Indians,Royal Challengers Bangalore,41,36,8.416666666666666,8.666666666666666
MA Chidambaram Stadium,2,Royal Challengers Bangalore,Mumbai Indians,46,39,8.0,9.0
Wankhede Stadium,1,Chennai Super Kings,Delhi Capitals,33,37,8.0,8.25
Wankhede Stadium,2,Delhi Capitals,Chennai Super Kings,65,36,8.5,8.666666666666666
MA Chidambaram Stadium,1,Kolkata Knight Riders,Sunrisers Hyderabad,50,36,8.125,8.875
MA Chidambaram Stadium,2,Sunrisers Hyderabad,Kolkata Knight Riders,35,36,8.625,8.5625
